 Message label
74 "U can call me now..." 0
84 "Yup next stop." 0
234 "Yes:)here tv is always available in work place.." 0
272 "Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay." 0
360 "Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted" 0
561 "Hi msg me:)i'm in office.." 0
634 "Got it. Seventeen pounds for seven hundred ml – hope ok." 0
656 "Tell them the drug dealer's getting impatient" 0
745 "Men like shorter ladies. Gaze up into his eyes." 0
959 "My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!" 0
990 "Ugh. Gotta drive back to sd from la. My butt is sore." 0
1066 "No my mum went 2 dentist." 0
1298 "K so am I, how much for an 8th? Fifty?" 0
1302 "I tot u reach liao. He said t-shirt." 0
1309 "I jokin oni lar.. Ü busy then i wun disturb ü." 0
1335 "Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*" 0
1336 "Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)" 0
1347 "Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired" 0
1383 "Its ok my arm is feeling weak cuz i got a shot so we can go another time" 0
1384 "Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle .." 0
1605 "God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U" 0
1657 "Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)" 0
1709 "How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?" 0
1755 "How is your schedule next week? I am out of town this weekend." 0
1782 ";-( oh well, c u later" 0
